from_key,to_key,distance,light_speed_time
1-6号站,1-5号站,13.80999801541878,4.606519492701441e-05
1-6号站,1-11号站,12.710350192163254,4.239716461500594e-05
1-6号站,1-2号站,5.655932047583406,1.88661585595439e-05
1-6号站,1-20号站,14.910253707908447,4.973525287253373e-05
1-6号站,1-7号站,9.183536855017758,3.063298161762881e-05
1-6号站,1-10号站,12.672340374770622,4.227037751153373e-05
1-6号站,1-9号站,16.70803687166144,5.573201201633112e-05
1-6号站,1-13号站,4.510038717910042,1.5043869842482971e-05
1-5号站,1-6号站,13.80999801541878,4.606519492701441e-05
1-5号站,1-11号站,18.14478528103645,6.0524488848336714e-05
1-5号站,1-2号站,17.85316548009046,5.955174989789257e-05
1-5号站,1-20号站,28.489752534814983,9.503158526694819e-05
1-5号站,1-7号站,22.988714692687036,7.668209816234615e-05
1-5号站,1-10号站,10.940632235031284,3.649402092373946e-05
1-5号站,1-9号站,21.605142029306794,7.206699652633287e-05
1-5号站,1-13号站,9.42048886914606,3.142336845960968e-05
1-11号站,1-6号站,12.710350192163254,4.239716461500594e-05
1-11号站,1-5号站,18.14478528103645,6.0524488848336714e-05
1-11号站,1-2号站,17.677709975980544,5.896649333313297e-05
1-11号站,1-20号站,17.69180801448503,5.901351932771113e-05
1-11号站,1-7号站,15.857461945571469,5.289479946013675e-05
1-11号站,1-10号站,8.194400184704053,2.7333576833023774e-05
1-11号站,1-9号站,29.399488165829737,9.806613669323775e-05
1-11号站,1-13号站,14.006516205426038,4.6720709049411904e-05
1-2号站,1-6号站,5.655932047583406,1.88661585595439e-05
1-2号站,1-5号站,17.85316548009046,5.955174989789257e-05
1-2号站,1-11号站,17.677709975980544,5.896649333313297e-05
1-2号站,1-20号站,13.687197896628167,4.565557782186824e-05
1-2号站,1-7号站,7.479851093581045,2.4950097622472697e-05
1-2号站,1-10号站,18.320981024787553,6.111221458675773e-05
1-2号站,1-9号站,12.761582955179204,4.25680587174051e-05
1-2号站,1-13号站,8.689016947504314,2.898344076255685e-05
1-20号站,1-6号站,14.910253707908447,4.973525287253373e-05
1-20号站,1-5号站,28.489752534814983,9.503158526694819e-05
1-20号站,1-11号站,17.69180801448503,5.901351932771113e-05
1-20号站,1-2号站,13.687197896628167,4.565557782186824e-05
1-20号站,1-7号站,6.238810584482148,2.0810432077254417e-05
1-20号站,1-10号站,23.533619760412996,7.849970582119513e-05
1-20号站,1-9号站,25.09534159083226,8.370904911434517e-05
1-20号站,1-13号站,19.413395351612888,6.475611655184763e-05
1-7号站,1-6号站,9.183536855017758,3.063298161762881e-05
1-7号站,1-5号站,22.988714692687036,7.668209816234615e-05
1-7号站,1-11号站,15.857461945571469,5.289479946013675e-05
1-7号站,1-2号站,7.479851093581045,2.4950097622472697e-05
1-7号站,1-20号站,6.238810584482148,2.0810432077254417e-05
1-7号站,1-10号站,19.78670772533164,6.600135259350534e-05
1-7号站,1-9号站,19.4518841851816,6.488450148129343e-05
1-7号站,1-13号站,13.660104506474902,4.5565204000145e-05
1-10号站,1-6号站,12.672340374770622,4.227037751153373e-05
1-10号站,1-5号站,10.940632235031284,3.649402092373946e-05
1-10号站,1-11号站,8.194400184704053,2.7333576833023774e-05
1-10号站,1-2号站,18.320981024787553,6.111221458675773e-05
1-10号站,1-20号站,23.533619760412996,7.849970582119513e-05
1-10号站,1-7号站,19.78670772533164,6.600135259350534e-05
1-10号站,1-9号站,27.48369549827775,9.167574021584542e-05
1-10号站,1-13号站,11.085982117483896,3.6978855944014096e-05
1-9号站,1-6号站,16.70803687166144,5.573201201633112e-05
1-9号站,1-5号站,21.605142029306794,7.206699652633287e-05
1-9号站,1-11号站,29.399488165829737,9.806613669323775e-05
1-9号站,1-2号站,12.761582955179204,4.25680587174051e-05
1-9号站,1-20号站,25.09534159083226,8.370904911434517e-05
1-9号站,1-7号站,19.4518841851816,6.488450148129343e-05
1-9号站,1-10号站,27.48369549827775,9.167574021584542e-05
1-9号站,1-13号站,16.430256713775318,5.480543714603827e-05
1-13号站,1-6号站,4.510038717910042,1.5043869842482971e-05
1-13号站,1-5号站,9.42048886914606,3.142336845960968e-05
1-13号站,1-11号站,14.006516205426038,4.6720709049411904e-05
1-13号站,1-2号站,8.689016947504314,2.898344076255685e-05
1-13号站,1-20号站,19.413395351612888,6.475611655184763e-05
1-13号站,1-7号站,13.660104506474902,4.5565204000145e-05
1-13号站,1-10号站,11.085982117483896,3.6978855944014096e-05
1-13号站,1-9号站,16.430256713775318,5.480543714603827e-05
